energy,n,m,edges,weights,graph_hash,graph_type
11.400436437426087,11,22,"[(0, 1), (0, 5), (0, 8), (0, 9), (0, 10), (1, 2), (1, 6), (1, 10), (2, 4), (2, 9), (3, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 7), (6, 8), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",a1de2195c61fbe42ff6d29edc8b351fdcadb90471228917793ad6a79509dd340,hog
6.52322519319384,8,12,"[(0, 1), (0, 2), (0, 3), (0, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (3, 5), (4, 5), (5, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",14852e68dfa2f6f15f4b3d3f8c14fca38223b9e5ed9fffbf1d67e5da02e116b2,hog
6.236411627771346,9,10,"[(0, 1), (0, 4), (0, 6), (2, 3), (2, 4), (2, 7), (4, 6), (5, 6), (5, 7), (6, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3ac6db66c84f1d1abc62f8965038db1f26d91d12f678a0c9aeefecb83648fd9a,hog
15.054658730907123,14,28,"[(0, 1), (0, 2), (0, 5), (0, 12), (0, 13), (1, 2), (1, 3), (1, 6), (1, 13), (2, 3), (2, 4), (2, 8), (3, 5), (3, 12), (4, 5), (4, 6), (4, 12), (5, 7), (6, 7), (7, 8), (7, 9), (8, 11), (9, 10), (9, 11), (10, 11), (10, 12), (11, 12), (11, 13)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",b1a8ab463a84f1ef6fc4ebfb916ae824ca5450dee26fbda95686da41e2ee9a84,hog
18.54692541091654,14,42,"[(0, 1), (0, 6), (0, 8), (0, 10), (0, 12), (0, 13), (1, 2), (1, 3), (1, 4), (1, 12), (2, 4), (2, 5), (2, 7), (2, 11), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 10), (4, 5), (4, 6), (4, 7), (4, 8), (5, 7), (5, 8), (5, 10), (6, 8), (6, 9), (7, 8), (7, 10), (8, 10), (8, 11), (8, 13), (9, 10), (9, 11), (9, 12), (10, 11), (10, 13), (11, 12), (11, 13), (12, 13)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",595e1be47ba8706e057025653435193e9af58380e15ad712574e6b65efb79244,hog
15.082651333728087,13,31,"[(0, 4), (0, 5), (0, 10), (0, 11), (1, 2), (1, 6), (1, 8), (1, 9), (1, 10), (1, 11), (2, 3), (2, 8), (3, 5), (3, 9), (3, 10), (3, 11), (4, 6), (4, 7), (4, 10), (4, 12), (5, 6), (5, 8), (5, 11), (6, 11), (7, 9), (7, 10), (7, 11), (8, 12), (9, 10), (9, 11), (11, 12)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",fc12572910af8d5ae82458ab1101014167716e5fbb19786a0ff172c24d17064d,hog
11.638098845807034,13,22,"[(0, 6), (0, 9), (0, 11), (0, 12), (1, 2), (1, 4), (1, 7), (1, 8), (1, 9), (1, 10), (2, 5), (3, 5), (3, 6), (3, 7), (3, 10), (4, 9), (5, 8), (5, 10), (5, 11), (6, 10), (6, 12), (8, 11)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00305beb0382ff7b922602d0c44b38cb0188f535a9113ed9bf34271c88f7259f,hog
7.820089374374799,8,12,"[(0, 4), (0, 6), (0, 7), (1, 3), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 5), (4, 5), (5, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1ea3acea9ab3a7535b8b83410e504b93cc80d6be3fedc4f2872fff19c09453eb,hog
10.572568715049329,10,20,"[(0, 2), (0, 6), (0, 8), (0, 9), (1, 3), (1, 4), (1, 7), (1, 9), (2, 3), (2, 6), (2, 9), (3, 4), (3, 5), (4, 5), (4, 8), (5, 6), (5, 7), (6, 7), (7, 8), (8, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",fca9fe8b24ed532c431cef3ad8ec3e6cea110d3b53f66261d50cc67c2a131811,hog
12.658576065675938,10,28,"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 7), (0, 8), (0, 9), (1, 2), (1, 6), (1, 7), (1, 8), (1, 9), (2, 3), (2, 5), (2, 7), (2, 8), (2, 9), (3, 4), (3, 7), (3, 8), (4, 6), (4, 9), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (8, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",eb9cea7bff62714e53bfbaf0794f94e771f7ff03c7733cba5c29940d6adc349c,hog
